City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Iwanai,JP,60.03,broken clouds,42.97,140.51,いわない高原ホテル
495,Verkh-Usugli,RU,52.59,overcast clouds,52.7,115.17,"Gostinitsa ""Sever"""
497,Valpoi,IN,71.6,broken clouds,15.53,74.14,Cajueiro Homestead
499,Nelson Bay,AU,51.01,clear sky,-32.72,152.15,Mantra Nelson Bay
502,Vegueta,PE,66.52,few clouds,-11.02,-77.64,Hospedaje Gavión
503,Saint-Joseph,RE,68.0,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
504,Camana,PE,63.81,few clouds,-16.62,-72.71,Hostal Morales
505,Vila Velha,BR,73.4,broken clouds,-20.33,-40.29,Hotel Vitória Palace
506,Atbasar,KZ,57.43,few clouds,51.8,68.33,"The Ritz-Carlton, Astana"
507,Yuza,JP,74.5,few clouds,39.0,139.92,鶴屋旅館
508,Necochea,AR,66.0,clear sky,-38.55,-58.74,dyd -mar Hotel
511,Pryluky,UA,68.2,clear sky,50.59,32.39,Отель Прилуки
512,Arkhangelsk,RU,59.0,light intensity shower rain,64.54,40.54,DVINA HOTEL
514,Emba,KZ,66.38,overcast clouds,48.83,58.14,
515,Kastamonu,TR,63.1,scattered clouds,41.5,33.67,
516,Portland,US,69.01,clear sky,45.52,-122.68,Portland Marriott City Center
517,Buta,CD,69.33,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
518,Pulawy,PL,73.99,light rain,51.42,21.97,Hotel Trzy Korony
521,Christchurch,NZ,52.0,light rain,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
522,Hayden,US,71.01,clear sky,47.77,-116.79,Triple Play Resort Hotel & Suites
525,Nassogne,BE,62.01,light rain,50.13,5.34,Le Beau Séjour
526,Derzhavinsk,KZ,63.66,broken clouds,51.1,66.32,Ooo.khim Baza
528,Sturgeon Falls,CA,75.0,light intensity shower rain,46.36,-79.93,Lincoln Motel
529,Seoul,KR,73.4,scattered clouds,37.57,126.98,LOTTE HOTEL SEOUL
531,Kosino,RU,59.2,clear sky,58.41,51.28,Kbf Grupp
534,Antalaha,MG,70.23,light rain,-14.9,50.28,Hotel Vitasoa
535,Vestmannaeyjar,IS,55.4,overcast clouds,63.44,-20.27,Glamping & Camping
536,Slave Lake,CA,62.6,few clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
541,Novoagansk,RU,50.02,broken clouds,61.94,76.66,
542,Presidencia Roque Saenz Pena,AR,74.05,few clouds,-26.79,-60.44,Hotel Aconcagua
545,Assentoft,DK,66.2,scattered clouds,56.44,10.15,Græsrodsgården
547,Campbell River,CA,60.8,broken clouds,50.02,-125.24,Ramada by Wyndham Campbell River
548,Coos Bay,US,66.0,few clouds,43.37,-124.22,Best Western Holiday Hotel
551,Ulaangom,MN,56.73,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
553,San Juan,AR,68.58,clear sky,-31.54,-68.54,Hotel Provincial
555,Logan Lake,CA,60.8,overcast clouds,50.5,-120.8,Copper Valley Resort
558,Morondava,MG,73.63,clear sky,-20.28,44.28,La Case Bambou
561,Lokomotivnyy,RU,54.16,broken clouds,53.01,60.57,
562,Ulladulla,AU,48.2,clear sky,-35.35,150.47,Sandpiper Motel
